#KEY	Cut on dataset 52_2	Cut on dataset 51_2	Cut on dataset 36_2	Cut on dataset 35_2	Cut on dataset 34_2
ENSMUSG00000000001.5	3582	2896	2789	894	1692
ENSMUSG00000000003.16	0	0	0	0	0
ENSMUSG00000000028.16	61	36	47	13	28
ENSMUSG00000000031.20	163056	86476	87274	21682	63337
ENSMUSG00000000037.18	0	2	2	0	0
ENSMUSG00000000049.12	12	37	14	6	35
ENSMUSG00000000056.8	535	360	323	114	262
ENSMUSG00000000058.7	286	197	141	75	91
ENSMUSG00000000078.8	6381	6042	4285	2042	2880
ENSMUSG00000000085.17	445	377	299	97	259
ENSMUSG00000000088.8	499	487	434	157	313
ENSMUSG00000000093.7	480	257	314	136	214
ENSMUSG00000000094.13	171	47	77	43	73
ENSMUSG00000000103.13	0	0	0	0	0
ENSMUSG00000000120.7	7	0	0	0	0
ENSMUSG00000000125.6	42	10	10	6	18
ENSMUSG00000000126.12	272	185	239	48	122
ENSMUSG00000000127.16	445	383	244	111	262
ENSMUSG00000000131.16	1551	859	848	296	665
ENSMUSG00000000134.18	1466	797	802	297	630
ENSMUSG00000000142.16	339	248	117	82	173
ENSMUSG00000000148.18	506	301	354	96	233
ENSMUSG00000000149.11	1777	1211	1156	445	878
ENSMUSG00000000154.17	55	184	36	26	64
ENSMUSG00000000157.17	2	5	4	2	4
ENSMUSG00000000159.17	16	153	7	11	25
ENSMUSG00000000167.15	4	12	10	4	4
ENSMUSG00000000168.11	778	442	495	161	306
ENSMUSG00000000171.6	847	991	595	245	476
ENSMUSG00000000182.10	0	0	2	0	2
ENSMUSG00000000183.7	0	0	0	0	0
ENSMUSG00000000184.13	191	120	122	38	73
ENSMUSG00000000194.14	2605	1969	2044	638	1293
ENSMUSG00000000197.9	0	0	0	2	5
ENSMUSG00000000202.10	0	2	0	0	0
ENSMUSG00000000204.17	74	60	52	10	37
ENSMUSG00000000214.12	4	3	2	0	0
ENSMUSG00000000215.12	2	0	2	0	0
ENSMUSG00000000216.9	76	128	14	25	52
ENSMUSG00000000223.14	241	206	128	52	145
ENSMUSG00000000244.18	10	4	0	0	4
ENSMUSG00000000247.12	511	203	276	55	236
ENSMUSG00000000248.17	0	0	0	0	0
ENSMUSG00000000253.14	147	192	132	29	74
ENSMUSG00000000263.16	0	0	0	0	0
ENSMUSG00000000266.12	510	239	256	90	235
ENSMUSG00000000275.17	2473	1828	1412	640	1196
ENSMUSG00000000276.12	303	165	211	101	118
ENSMUSG00000000278.11	2898	3142	1877	740	1758
ENSMUSG00000000282.13	1603	1100	824	301	656
ENSMUSG00000000290.14	113	71	121	20	65
ENSMUSG00000000295.14	61	28	51	10	29
ENSMUSG00000000296.9	18	13	11	4	6
ENSMUSG00000000301.17	31	21	21	5	8
ENSMUSG00000000303.14	3181	6696	2321	899	1974
ENSMUSG00000000305.13	149	111	80	18	65
