NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pex10	13002	0.33335214853286743	-0.30247462	No	
row_1	Pik3c3	14136	0.24638031423091888	-0.29652214	No	
row_2	Wdr45	15757	0.1592888981103897	-0.31670302	No	
row_3	Atg2b	17190	0.09955087304115295	-0.34067488	No	
row_4	Rb1cc1	17894	0.07107839733362198	-0.34914178	No	
row_5	Pex2	18263	0.05823966860771179	-0.35044712	No	
row_6	Acbd5	18337	0.05554485693573952	-0.3441659	No	
row_7	Sqstm1	20503	-0.025115761905908585	-0.39905006	No	
row_8	Pik3r4	21082	-0.0458810031414032	-0.40787858	No	
row_9	Wipi2	21133	-0.048207707703113556	-0.4020654	No	
row_10	Atg2a	21933	-0.08025437593460083	-0.41176733	No	
row_11	Wdr45b	23095	-0.13739897310733795	-0.42277497	No	
row_12	Pex12	25069	-0.26658040285110474	-0.43656266	No	
row_13	Wipi1	27658	-0.27719244360923767	-0.465424	Yes	
row_14	Pex5	27733	-0.2831728160381317	-0.42532888	Yes	
row_15	Atm	28490	-0.363277405500412	-0.39179018	Yes	
row_16	Pjvk	36403	-4.1758880615234375	0.014810088	Yes	
