NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd6	5724	0.8857512474060059	-0.057993747	No	
row_1	Nedd9	15093	0.19349154829978943	-0.29044306	No	
row_2	Dock2	19542	0.010578945279121399	-0.40971255	No	
row_3	Git1	20715	-0.03128866106271744	-0.43801817	No	
row_4	Dlg1	20735	-0.032196782529354095	-0.43500736	No	
row_5	Nck2	21503	-0.0632694810628891	-0.44884616	No	
row_6	Cd81	22292	-0.09629427641630173	-0.45963764	No	
row_7	Cd2ap	22962	-0.13001616299152374	-0.46351504	No	
row_8	Dock8	23229	-0.14353618025779724	-0.45500106	No	
row_9	Lgals3	24929	-0.25611910223960876	-0.4729582	No	
row_10	Havcr2	29179	-0.44596928358078003	-0.53916883	Yes	
row_11	Msn	29517	-0.5071142315864563	-0.49276885	Yes	
row_12	Ephb1	30938	-0.7835909724235535	-0.44541913	Yes	
row_13	Ccr7	31019	-0.8083003163337708	-0.359084	Yes	
row_14	Prf1	33775	-1.8471566438674927	-0.23142868	Yes	
row_15	Clec2i	35194	-2.8985517024993896	0.047542952	Yes	
