NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ndufaf2	14821	0.20763269066810608	-0.37719175	No	
row_1	Eny2	15324	0.18116620182991028	-0.36975372	No	
row_2	Hmgcr	15587	0.16742639243602753	-0.35741237	No	
row_3	Map4k4	18787	0.038528427481651306	-0.4395562	No	
row_4	Ptpmt1	19374	0.017121218144893646	-0.4534353	No	
row_5	Fkbp1b	19976	-0.006659686099737883	-0.46893492	No	
row_6	Tbc1d1	21806	-0.075948566198349	-0.50964075	No	
row_7	Klf7	21997	-0.08305660635232925	-0.50514376	No	
row_8	Jagn1	22180	-0.09120249003171921	-0.49948463	No	
row_9	Pde1c	23280	-0.1466239094734192	-0.51222074	No	
row_10	Pim3	23781	-0.17516502737998962	-0.5054252	No	
row_11	Ucp2	23921	-0.1850816160440445	-0.48770404	No	
row_12	Pde3b	24283	-0.21019616723060608	-0.47307843	No	
row_13	Adra2a	24476	-0.22225706279277802	-0.4524769	No	
row_14	Pde8b	28685	-0.3914804458618164	-0.5209689	Yes	
row_15	Epha5	32596	-1.291461706161499	-0.47692028	Yes	
row_16	Pde4c	33877	-1.9616856575012207	-0.2838604	Yes	
row_17	Crhr2	35454	-3.1618740558624268	0.04050578	Yes	
