NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PYROPTOTIC_CELL_DEATH	GOBP_PYROPTOTIC_CELL_DEATH	Details ...	15	-0.72541916	-1.6530535	0.0036036037	1.0	0.999	6181	tags=47%, list=17%, signal=56%	
GOBP_SPERM_AXONEME_ASSEMBLY	GOBP_SPERM_AXONEME_ASSEMBLY	Details ...	32	-0.58377427	-1.6076605	0.005244755	1.0	1.0	7179	tags=41%, list=19%, signal=50%	
GOBP_SEMINIFEROUS_TUBULE_DEVELOPMENT	GOBP_SEMINIFEROUS_TUBULE_DEVELOPMENT	Details ...	25	-0.59635645	-1.547552	0.015384615	1.0	1.0	6345	tags=32%, list=17%, signal=39%	
GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS	GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS	Details ...	43	-0.54425895	-1.5456365	0.013333334	1.0	1.0	5796	tags=19%, list=16%, signal=22%	
GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	Details ...	34	-0.57105553	-1.5430157	0.013445378	1.0	1.0	5407	tags=21%, list=15%, signal=24%	
GOBP_GONADOTROPIN_SECRETION	GOBP_GONADOTROPIN_SECRETION	Details ...	19	-0.6454297	-1.5395601	0.017605634	1.0	1.0	1724	tags=21%, list=5%, signal=22%	
GOBP_NEGATIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	Details ...	18	-0.6268363	-1.5134778	0.040441178	1.0	1.0	4356	tags=17%, list=12%, signal=19%	
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	Details ...	17	-0.6326769	-1.48468	0.04553734	1.0	1.0	9247	tags=53%, list=25%, signal=71%	
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	349	-0.39574674	-1.4666842	0.0	1.0	1.0	3527	tags=19%, list=10%, signal=20%	
GOBP_REGULATION_OF_HEAT_GENERATION	GOBP_REGULATION_OF_HEAT_GENERATION	Details ...	16	-0.62654835	-1.4343897	0.071813285	1.0	1.0	8155	tags=50%, list=22%, signal=64%	
GOBP_AUTOPHAGY_OF_PEROXISOME	GOBP_AUTOPHAGY_OF_PEROXISOME	Details ...	17	-0.60601014	-1.4249713	0.071174376	1.0	1.0	549	tags=6%, list=1%, signal=6%	
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	Details ...	16	-0.6059595	-1.4096913	0.093457945	1.0	1.0	2263	tags=19%, list=6%, signal=20%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	19	-0.58139586	-1.406152	0.057866186	1.0	1.0	8530	tags=42%, list=23%, signal=55%	
GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	Details ...	59	-0.46327496	-1.4020879	0.036277603	1.0	1.0	5771	tags=14%, list=16%, signal=16%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	Details ...	15	-0.6119476	-1.4004395	0.08131488	1.0	1.0	8155	tags=47%, list=22%, signal=60%	
GOBP_HEAT_GENERATION	GOBP_HEAT_GENERATION	Details ...	22	-0.54918593	-1.3912833	0.07413793	1.0	1.0	8494	tags=50%, list=23%, signal=65%	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	Details ...	16	-0.58799815	-1.3866779	0.08657244	1.0	1.0	7773	tags=38%, list=21%, signal=47%	
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	Details ...	143	-0.40961233	-1.3854351	0.010144928	1.0	1.0	3792	tags=16%, list=10%, signal=18%	
GOBP_REGULATION_OF_SENSORY_PERCEPTION	GOBP_REGULATION_OF_SENSORY_PERCEPTION	Details ...	20	-0.56202877	-1.3780583	0.08885018	1.0	1.0	7413	tags=40%, list=20%, signal=50%	
GOBP_DNA_METHYLATION_DEPENDENT_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	GOBP_DNA_METHYLATION_DEPENDENT_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	Details ...	37	-0.49526745	-1.3750525	0.06546645	1.0	1.0	5771	tags=19%, list=16%, signal=22%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II		25	-0.5359459	-1.3694357	0.090252705	1.0	1.0	8530	tags=40%, list=23%, signal=52%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS		294	-0.37568456	-1.3645018	0.007585335	1.0	1.0	4014	tags=19%, list=11%, signal=21%	
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION	GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION		19	-0.5539188	-1.3619591	0.10332103	1.0	1.0	424	tags=5%, list=1%, signal=5%	
GOBP_LIPID_DIGESTION	GOBP_LIPID_DIGESTION		19	-0.5601009	-1.3566418	0.09653916	1.0	1.0	135	tags=11%, list=0%, signal=11%	
GOBP_PEPTIDYL_PROLINE_MODIFICATION	GOBP_PEPTIDYL_PROLINE_MODIFICATION		16	-0.5866198	-1.3427204	0.12177122	1.0	1.0	1342	tags=6%, list=4%, signal=6%	
GOBP_RETINAL_CONE_CELL_DIFFERENTIATION	GOBP_RETINAL_CONE_CELL_DIFFERENTIATION		15	-0.5728941	-1.3411803	0.101265825	1.0	1.0	6560	tags=40%, list=18%, signal=49%	
GOBP_NEGATIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	GOBP_NEGATIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS		16	-0.5689915	-1.3315084	0.13611615	1.0	1.0	2275	tags=19%, list=6%, signal=20%	
GOBP_RESPONSE_TO_AMPHETAMINE	GOBP_RESPONSE_TO_AMPHETAMINE		35	-0.48694885	-1.3289243	0.07578254	1.0	1.0	6177	tags=23%, list=17%, signal=27%	
GOBP_TRANSPOSABLE_ELEMENT_SILENCING_BY_HETEROCHROMATIN_FORMATION	GOBP_TRANSPOSABLE_ELEMENT_SILENCING_BY_HETEROCHROMATIN_FORMATION		27	-0.5096938	-1.3119829	0.09557522	1.0	1.0	5771	tags=26%, list=16%, signal=31%	
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC		18	-0.54040045	-1.3033643	0.10760668	1.0	1.0	2123	tags=22%, list=6%, signal=24%	
GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION		20	-0.5233741	-1.2989854	0.123674914	1.0	1.0	8572	tags=30%, list=23%, signal=39%	
GOBP_POSITIVE_REGULATION_OF_ICOSANOID_SECRETION	GOBP_POSITIVE_REGULATION_OF_ICOSANOID_SECRETION		22	-0.50706714	-1.2815148	0.13013698	1.0	1.0	8100	tags=32%, list=22%, signal=41%	
GOBP_RESPONSE_TO_PHEROMONE	GOBP_RESPONSE_TO_PHEROMONE		51	-0.43396133	-1.2802578	0.10445205	1.0	1.0	3527	tags=24%, list=10%, signal=26%	
GOBP_POST_TRANSCRIPTIONAL_GENE_SILENCING	GOBP_POST_TRANSCRIPTIONAL_GENE_SILENCING		135	-0.37837124	-1.2776091	0.05077574	1.0	1.0	3299	tags=12%, list=9%, signal=13%	
GOBP_CAMERA_TYPE_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_CAMERA_TYPE_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION		36	-0.46682826	-1.2752008	0.1384083	1.0	1.0	9026	tags=42%, list=24%, signal=55%	
GOBP_RETINAL_ROD_CELL_DIFFERENTIATION	GOBP_RETINAL_ROD_CELL_DIFFERENTIATION		22	-0.50624794	-1.2694987	0.14285715	1.0	1.0	9026	tags=45%, list=24%, signal=60%	
GOBP_VIRAL_TRANSLATION	GOBP_VIRAL_TRANSLATION		22	-0.5060634	-1.2663718	0.14827587	1.0	1.0	1773	tags=5%, list=5%, signal=5%	
GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION	GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION		28	-0.47494033	-1.2610523	0.16812609	1.0	1.0	7912	tags=46%, list=21%, signal=59%	
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT	GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT		67	-0.41195446	-1.2565203	0.11057692	1.0	1.0	9280	tags=34%, list=25%, signal=46%	
GOBP_CEREBROSPINAL_FLUID_CIRCULATION	GOBP_CEREBROSPINAL_FLUID_CIRCULATION		19	-0.52523667	-1.252503	0.17636363	1.0	1.0	7620	tags=47%, list=21%, signal=60%	
GOBP_POLYAMINE_METABOLIC_PROCESS	GOBP_POLYAMINE_METABOLIC_PROCESS		21	-0.5138268	-1.2496383	0.17798164	1.0	1.0	14757	tags=71%, list=40%, signal=119%	
GOBP_PIRNA_PROCESSING	GOBP_PIRNA_PROCESSING		21	-0.49329737	-1.2450584	0.18439716	1.0	1.0	8166	tags=43%, list=22%, signal=55%	
GOBP_THYROID_HORMONE_GENERATION	GOBP_THYROID_HORMONE_GENERATION		22	-0.49248964	-1.2332516	0.18761063	1.0	1.0	8062	tags=41%, list=22%, signal=52%	
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT	GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT		27	-0.4601887	-1.2284919	0.17567568	1.0	1.0	1378	tags=4%, list=4%, signal=4%	
GOBP_N_GLYCAN_PROCESSING	GOBP_N_GLYCAN_PROCESSING		21	-0.49621788	-1.2259266	0.19081272	1.0	1.0	8398	tags=29%, list=23%, signal=37%	
GOBP_MEMBRANE_HYPERPOLARIZATION	GOBP_MEMBRANE_HYPERPOLARIZATION		20	-0.5037097	-1.2136513	0.19464286	1.0	1.0	7008	tags=30%, list=19%, signal=37%	
GOBP_DETECTION_OF_STIMULUS	GOBP_DETECTION_OF_STIMULUS		453	-0.3196951	-1.2081649	0.03803681	1.0	1.0	4792	tags=17%, list=13%, signal=20%	
GOBP_REGULATION_OF_ICOSANOID_SECRETION	GOBP_REGULATION_OF_ICOSANOID_SECRETION		27	-0.45678052	-1.2072123	0.18363637	1.0	1.0	8738	tags=30%, list=24%, signal=39%	
GOBP_PIRNA_MEDIATED_HETEROCHROMATIN_FORMATION	GOBP_PIRNA_MEDIATED_HETEROCHROMATIN_FORMATION		17	-0.505582	-1.198687	0.22423147	1.0	1.0	5771	tags=35%, list=16%, signal=42%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME		21	-0.48240557	-1.1933715	0.22278911	1.0	1.0	8193	tags=24%, list=22%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION		19	-0.48443365	-1.1924653	0.2173913	1.0	1.0	8343	tags=26%, list=23%, signal=34%	
