NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_KERATINOCYTE_DIFFERENTIATION	GOBP_KERATINOCYTE_DIFFERENTIATION	Details ...	151	0.6044527	2.2940607	0.0	0.0	0.0	4355	tags=22%, list=12%, signal=25%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	55	0.6987576	2.2312994	0.0	0.0	0.0	4355	tags=42%, list=12%, signal=47%	
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	Details ...	16	0.85277295	2.0759897	0.0	0.0018374928	0.003	1736	tags=38%, list=5%, signal=39%	
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	Details ...	76	0.5998847	2.058759	0.0	0.004573714	0.01	4515	tags=24%, list=12%, signal=27%	
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	Details ...	238	0.52023554	2.0378966	0.0	0.005532976	0.015	4355	tags=16%, list=12%, signal=18%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	Details ...	56	0.6231649	2.0145469	0.0	0.008931952	0.028	4515	tags=32%, list=12%, signal=37%	
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	Details ...	38	0.6627136	2.0126312	0.0	0.008174535	0.03	7243	tags=34%, list=20%, signal=43%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	109	0.5542797	1.9993625	0.0	0.0087387245	0.037	2656	tags=15%, list=7%, signal=16%	
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	Details ...	51	0.61217624	1.9428227	0.0	0.024354376	0.111	723	tags=12%, list=2%, signal=12%	
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM	GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM	Details ...	34	0.6583756	1.9402777	0.0	0.022104805	0.112	7371	tags=35%, list=20%, signal=44%	
GOBP_CARDIAC_MUSCLE_ADAPTATION	GOBP_CARDIAC_MUSCLE_ADAPTATION	Details ...	33	0.6638369	1.9399177	0.0	0.020095278	0.112	2421	tags=21%, list=7%, signal=23%	
GOBP_EPIDERMIS_DEVELOPMENT	GOBP_EPIDERMIS_DEVELOPMENT	Details ...	374	0.4683638	1.9309031	0.0	0.022271598	0.134	5440	tags=15%, list=15%, signal=18%	
GOBP_PROTEIN_HETEROTETRAMERIZATION	GOBP_PROTEIN_HETEROTETRAMERIZATION	Details ...	15	0.7797211	1.9275776	0.0023255814	0.02127173	0.137	2145	tags=20%, list=6%, signal=21%	
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	Details ...	42	0.6352285	1.9214717	0.0	0.022097982	0.155	1928	tags=12%, list=5%, signal=13%	
