NAME	TITLE	SCORE	
Krt1		8.932145	
Krt5		7.5399656	
Krt6b		6.992098	
Krt15		6.9598703	
Myh3		6.607912	
Ckm		6.492571	
Pkp1		6.4881363	
Casq2		6.449581	
Loricrin		6.2197485	
Myh8		6.2036586	
Stfa3		6.0955076	
Pigr		6.080205	
Mybpc1		6.06907	
Angptl7		5.963877	
Klk1b1		5.7133074	
Krtdap		5.639879	
Cldn10		5.618712	
Glp1r		5.6094995	
Platr22		5.335406	
Sprr1b		5.24522	
Krt13		5.2301145	
C1rb		5.2225347	
Arhgap36		5.058596	
Slc26a4		5.051424	
Hapln1		4.988152	
4930429F24Rik		4.9697948	
Cacna1h		4.9467993	
Acot5		4.918151	
Cd300ld		4.890445	
9230009I02Rik		4.8497686	
Sprr2f		4.7677307	
Tdh		4.765616	
Pzp		4.752289	
Serpinb2		4.7271123	
ENSMUSG00000137813		4.725533	
Prss22		4.638539	
Cadm3		4.62925	
Sprr2d		4.60888	
Muc16		4.5960503	
Hrnr		4.5369697	
Tll1		4.5229273	
Myh6		4.481905	
Gm56602		4.4806604	
Gm5602		4.459912	
A830052D11Rik		4.452404	
Asb12		4.4361444	
ENSMUSG00000132047		4.418869	
Galr2		4.417363	
Kcnf1		4.4121585	
4930442L01Rik		4.4118047	
Slco4c1		4.392883	
Stoml3		4.3906674	
Cbr2		4.388904	
C130073F10Rik		4.367578	
1700052H01Rik		4.346436	
ENSMUSG00000126038		4.325901	
ENSMUSG00000130888		4.3106537	
Tnfsf15		4.304752	
Gm45084		4.301175	
Myoz1		4.2999315	
Rimkla		4.293218	
Gm15635		4.2918706	
5330432J10Rik		4.2636237	
ENSMUSG00000131543		4.2523274	
Cyp27b1		4.250586	
ENSMUSG00000137248		4.2365427	
Zfp872		4.2358294	
ENSMUSG00000125059		4.2314715	
Cpa3		4.2290897	
Cdh26		4.2207074	
9530052E02Rik		4.2107425	
Gm39529		4.203481	
Gm49808		4.2001767	
Gm37499		4.194489	
Zfp85os		4.188197	
Zscan10		4.183953	
Gm57446		4.180668	
Gm16146		4.170416	
Tshr		4.16689	
Serpinb1b		4.1540313	
Gm38329		4.146503	
Gm12637		4.139295	
Nmur1		4.1370597	
Upk3bl		4.133466	
Gm9761		4.1297626	
Gm15777		4.128901	
ENSMUSG00000135591		4.122674	
Gm42585		4.1115623	
Serpinb5		4.1032596	
ENSMUSG00000134955		4.094973	
Gm49064		4.0814753	
Klk10		4.066959	
Myl1		4.0656514	
Kcnn3		4.053891	
Ctnna3		4.0524178	
Atp1b4		4.0521235	
Bambi-ps1		4.050675	
Pinlyp		4.048422	
Gm50202		4.040655	
ENSMUSG00000130853		4.0241766	
ENSMUSG00000139248		4.0127845	
Gm48412		4.01053	
Gm47484		4.009851	
Cyp26a1		4.007836	
Gucy1a2		3.9880877	
ENSMUSG00000132140		3.9830894	
ENSMUSG00000140836		3.9830894	
ENSMUSG00000138888		3.9760308	
ENSMUSG00000131659		3.9744227	
Anxa10		3.966144	
Them5		3.958413	
Kcnj11		3.954359	
Grin3b		3.953229	
9330136K24Rik		3.9467719	
ENSMUSG00000135094		3.9404256	
ENSMUSG00000122838		3.939836	
ENSMUSG00000137391		3.932728	
Gm13470		3.930684	
Htr1b		3.9270284	
Zpbp2		3.9270284	
Prr16		3.9270284	
Cyp2b19		3.9106688	
Gfap		3.899173	
Gm17096		3.895532	
Gm57408		3.8942246	
Gm15597		3.893513	
ENSMUSG00000138251		3.8755572	
Gm35281		3.8731127	
ENSMUSG00000124300		3.8730211	
1700047M11Rik		3.855178	
Hcrtr2		3.855178	
ENSMUSG00000132565		3.8548315	
Gipr		3.849943	
Syt1		3.848436	
Gm43963		3.8388348	
Rap1gapos		3.8344407	
Cfap57		3.8341212	
Gm43362		3.833515	
AU017674		3.833163	
ENSMUSG00000144185		3.8330529	
ENSMUSG00000135972		3.8308	
A230083N12Rik		3.81854	
B430010I23Rik		3.81463	
Krt77		3.8131263	
Gm47416		3.806483	
Lrrc9		3.8038218	
Fam3b		3.7936432	
Pak3		3.789835	
BC037039		3.7830555	
Fen1		3.7756834	
4930479D17Rik		3.7702804	
Efcab11		3.7636945	
ENSMUSG00000141850		3.7632189	
Gm5095		3.7608082	
Snord83b		3.7576082	
Gm11772		3.754084	
Zfp652os		3.7485623	
Sema4f		3.747279	
Tmprss11d		3.7457402	
ENSMUSG00000123619		3.7317147	
Aox3		3.7260146	
Gm56897		3.7260146	
Zyg11a		3.7258577	
Fstl4		3.722345	
ENSMUSG00000122303		3.7184498	
Gm14046		3.715206	
Gm12426		3.7144086	
Chp2		3.7144086	
Trem5		3.7075698	
ENSMUSG00000143782		3.7072387	
ENSMUSG00000127475		3.7023346	
ENSMUSG00000131652		3.6942549	
Gm536		3.693976	
Armc12		3.6909962	
Serpinb12		3.6902423	
ENSMUSG00000137882		3.6901875	
ENSMUSG00000140895		3.685036	
1810012K16Rik		3.6816404	
Fgf2os		3.6774738	
Mmp7		3.677137	
Gm31356		3.677137	
ENSMUSG00000125684		3.6769636	
ENSMUSG00000133495		3.6614962	
Gm26826		3.6614962	
Styxl1		3.6583219	
A2ml1		3.6573007	
Cirop		3.6548016	
ENSMUSG00000129334		3.6548016	
Gm15712		3.6548016	
Gm42727		3.6531801	
ENSMUSG00000138722		3.6393924	
Pik3c2g		3.6344025	
ENSMUSG00000134906		3.631754	
Gm15743		3.6309009	
BB019430		3.6295886	
ENSMUSG00000139119		3.6258097	
Gm8369		3.6258097	
ENSMUSG00000136789		3.6229546	
ENSMUSG00000131337		3.621569	
ENSMUSG00000126501		3.6161335	
Spmip6		3.6102984	
Foxn1		3.6102984	
ENSMUSG00000124672		3.6075306	
ENSMUSG00000129119		3.6019094	
Six3		3.5906844	
ENSMUSG00000140950		3.588292	
Gm49975		3.588292	
ENSMUSG00000134470		3.588292	
Npm2		3.5871751	
C78859		3.5843883	
Gm23517		3.5838666	
Faxdc2		3.582804	
Gm50322		3.582796	
ENSMUSG00000136489		3.5823536	
Krt87		3.5751796	
Hepacam2		3.5705109	
Gm17111		3.5632892	
Gm45112		3.5620935	
Trpc4		3.560846	
ENSMUSG00000138835		3.5502377	
Fbxo47		3.5501046	
ENSMUSG00000130750		3.5489225	
Gm7910		3.5423443	
ENSMUSG00000141434		3.5406613	
Gm57361		3.5405953	
Scimp		3.5339518	
Dbx2		3.5339518	
Tmprss11e		3.5220492	
Spic		3.516303	
ENSMUSG00000129887		3.516303	
ENSMUSG00000141393		3.516303	
ENSMUSG00000124679		3.5095043	
Lgi3		3.509182	
Arpp21		3.5018044	
Gm36161		3.5008004	
Gm5322		3.4974108	
Ibsp		3.4892168	
1110002J07Rik		3.4872441	
Gm16185		3.4861202	
Tgm5		3.4847162	
Lat		3.481397	
Gm6525		3.4744236	
ENSMUSG00000140527		3.4744236	
Myot		3.474304	
ENSMUSG00000131263		3.4683952	
Gm40478		3.4682415	
Gm14097		3.4676704	
Sult2a3		3.4659293	
B020010K11Rik		3.4609869	
Gm7357		3.4590223	
Rgn		3.4563468	
ENSMUSG00000130653		3.4502182	
Ywhaq-ps1		3.4502182	
A630072L19Rik		3.4502182	
Prap1		3.4494085	
Col9a1		3.4462435	
Gm10848		3.4420664	
Il36rn		3.4413888	
ENSMUSG00000143812		3.4411564	
ENSMUSG00000125565		3.433521	
5033421B08Rik		3.433521	
ENSMUSG00000131816		3.433521	
ENSMUSG00000137728		3.4317443	
ENSMUSG00000128780		3.430528	
ENSMUSG00000124946		3.43033	
Gm44566		3.425495	
ENSMUSG00000132652		3.425495	
Gm56907		3.425495	
Pla2g2f		3.4253652	
Fam25a		3.4253652	
Dsc1		3.4253652	
Stpg3		3.4232752	
ENSMUSG00000141548		3.418744	
ENSMUSG00000123053		3.4175694	
ENSMUSG00000125440		3.4133317	
4933411K16Rik		3.4074788	
Tnn		3.4071512	
ENSMUSG00000140572		3.4071512	
Gm16024		3.405871	
Stac		3.405374	
Asb16		3.4041007	
Gm46432		3.4041007	
Rapsn		3.4025993	
ENSMUSG00000124577		3.4025993	
Hdac1-ps		3.4025993	
Col2a1		3.4017146	
ENSMUSG00000135456		3.399853	
Naip1		3.3945565	
ENSMUSG00000127656		3.3944085	
Gm2381		3.3944085	
Muc21		3.3882184	
Cuzd1		3.3827102	
ENSMUSG00000121767		3.3786917	
Gm36840		3.3786917	
Cckbr		3.3771684	
Gm56532		3.3771684	
ENSMUSG00000131903		3.3771684	
Gm13387		3.374262	
AA413626		3.374262	
ENSMUSG00000134361		3.374262	
4921525O09Rik		3.374262	
Gm49097		3.374262	
Pdzph1		3.374262	
Akain1		3.374262	
Trdn		3.3646183	
Fgf13		3.3646183	
4930539M17Rik		3.360856	
ENSMUSG00000135902		3.360856	
Gm28529		3.3584466	
Mospd4		3.3556178	
Gm8153		3.3500507	
Gm14222		3.3480673	
Ube2u		3.3470376	
ENSMUSG00000121804		3.3470376	
ENSMUSG00000123375		3.3468235	
Ikzf3		3.3468235	
ENSMUSG00000126255		3.3461769	
ENSMUSG00000126688		3.345388	
ENSMUSG00000142655		3.342232	
ENSMUSG00000134809		3.342232	
Il27ra		3.342232	
Thsd7b		3.3401797	
Olig3		3.3343177	
Gm32352		3.3327887	
ENSMUSG00000139020		3.3290184	
2900060B14Rik		3.3227296	
Gm42679		3.3227296	
Edil3		3.3227296	
ENSMUSG00000135516		3.3186884	
Gm26703		3.3186884	
Npy1r		3.3158255	
Slc38a8		3.3158255	
B430212C06Rik		3.3104553	
Gm11821		3.3047059	
Gm17108		3.3047059	
Sv2b		3.3032727	
Tslrn1		3.3028064	
Aqp10-ps		3.3013108	
Rhcg		3.2997627	
9530046B11Rik		3.292069	
Gm44414		3.2906995	
ENSMUSG00000144054		3.2887928	
ENSMUSG00000122356		3.2871692	
9230104M06Rik		3.2825606	
Gm9616		3.2768953	
1700001K23Rik		3.2728355	
Cdh19		3.2614803	
Gm34411		3.2614803	
Gm45737		3.2614803	
ENSMUSG00000141869		3.2614803	
ENSMUSG00000128418		3.2580862	
ENSMUSG00000124472		3.2580862	
Gm6377		3.2580862	
Rps15-ps2		3.2565143	
ENSMUSG00000133307		3.2565143	
ENSMUSG00000129307		3.2563448	
Serpinb3a		3.256044	
Fcer2a		3.256044	
Gm4740		3.256044	
ENSMUSG00000134880		3.253768	
Gm10961		3.2417462	
ENSMUSG00000137720		3.2417462	
ENSMUSG00000134165		3.2417462	
Prss27		3.2384787	
